City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hobart,AU,-42.8794,147.3294,60.66,56,75,18.41,broken clouds
80,Ferrol,ES,43.4832,-8.2369,54.68,90,74,4.32,broken clouds
81,Chegdomyn,RU,51.1167,133.0167,50.52,37,98,2.28,overcast clouds
82,Carlyle,US,38.6103,-89.3726,65.12,74,100,8.99,overcast clouds
83,Baraut,IN,29.1,77.2667,98.76,11,0,7.14,clear sky
84,Kaitangata,NZ,-46.2817,169.8464,59.76,65,94,3.02,overcast clouds
85,Alofi,NU,-19.0595,-169.9187,80.74,80,95,16.8,light rain
86,Tuktoyaktuk,CA,69.4541,-133.0374,33.39,83,100,10.31,overcast clouds
87,Pinega,RU,64.7001,43.3936,25.45,82,27,6.62,scattered clouds
88,Mosquera,CO,4.7059,-74.2302,51.89,93,20,4.61,few clouds
89,Victoria,HK,22.2855,114.1577,82.96,86,100,17.0,overcast clouds
90,East London,ZA,-33.0153,27.9116,62.64,66,6,15.26,clear sky
91,Matara,LK,5.9485,80.5353,85.33,72,91,9.15,overcast clouds
92,Tiznit,MA,29.5833,-9.5,64.49,50,33,1.74,scattered clouds
93,Mekhe,SN,15.1097,-16.6218,68.83,74,3,13.85,clear sky
94,Yar-Sale,RU,66.8333,70.8333,23.22,82,100,16.51,overcast clouds
95,Ponta Delgada,PT,37.7333,-25.6667,66.51,94,75,10.36,mist
96,Vardo,NO,70.3705,31.1107,29.28,63,100,23.91,overcast clouds
97,Muncar,ID,-8.4333,114.3333,86.11,68,69,4.23,broken clouds
98,Samarai,PG,-10.6167,150.6667,83.82,73,48,9.04,scattered clouds
99,Glendive,US,47.1053,-104.7125,47.48,87,100,6.91,overcast clouds
100,Hofn,IS,64.2539,-15.2082,46.0,68,12,4.0,few clouds
101,Huilong,CN,31.8111,121.655,56.37,72,100,6.53,overcast clouds
102,Sovetskiy,RU,61.3614,63.5842,33.24,63,4,8.48,clear sky
103,Tiksi,RU,71.6872,128.8694,33.3,70,100,15.7,overcast clouds
104,Chiang Khong,TH,20.2613,100.4046,85.26,60,98,0.76,overcast clouds
105,Tautira,PF,-17.7333,-149.15,80.29,75,23,19.24,light rain
106,Cabo San Lucas,MX,22.8909,-109.9124,81.7,63,15,15.59,few clouds
107,Yellowknife,CA,62.456,-114.3525,35.56,51,10,10.0,clear sky
108,Napanee,CA,44.2501,-76.9494,39.94,60,0,7.49,clear sky
109,Bethel,US,41.3712,-73.414,50.76,25,0,4.61,clear sky
110,Cururupu,BR,-1.8283,-44.8683,74.37,94,55,2.35,broken clouds
111,Antalaha,MG,-14.9003,50.2788,72.79,86,67,6.82,broken clouds
112,Biak,ID,-0.9131,122.8766,81.7,75,91,1.63,light rain
113,Chokurdakh,RU,70.6333,147.9167,21.11,89,16,9.51,few clouds
114,Muros,ES,42.7762,-9.0603,52.84,91,33,5.21,scattered clouds
115,Aquiraz,BR,-3.9014,-38.3911,75.29,85,85,7.61,overcast clouds
116,Saskylakh,RU,71.9167,114.0833,34.05,100,100,10.92,overcast clouds
117,Clyde River,CA,70.4692,-68.5914,7.03,78,100,12.66,overcast clouds
118,Kodiak,US,57.79,-152.4072,40.55,90,100,29.48,light rain
119,Katangli,RU,51.7102,143.2326,32.83,100,100,12.62,light snow
120,Rovaniemi,FI,66.5,25.7167,27.81,74,0,2.3,clear sky
121,Lubbock,US,33.6001,-101.8338,75.45,6,0,13.8,clear sky
122,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.5,59,99,6.62,overcast clouds
123,Evanston,US,42.0411,-87.6901,60.8,63,100,14.97,overcast clouds
124,Sept-Iles,CA,50.2001,-66.3821,36.05,80,100,8.01,overcast clouds
125,Flagstaff,US,35.1981,-111.6513,52.56,19,0,3.44,clear sky
126,Mount Isa,AU,-20.7333,139.5,87.57,29,11,13.8,few clouds
127,Imbituba,BR,-28.24,-48.6703,67.86,75,57,4.0,broken clouds
128,Masvingo,ZW,-20.0637,30.8277,52.5,81,0,3.58,clear sky
129,Saint Pete Beach,US,27.7253,-82.7412,72.14,80,100,12.66,overcast clouds
130,Meulaboh,ID,4.1363,96.1285,84.04,72,100,2.33,overcast clouds
131,Hilo,US,19.7297,-155.09,78.28,85,100,12.66,moderate rain
132,Matamoros,MX,25.5333,-103.25,86.11,11,0,3.44,clear sky
133,Cape Town,ZA,-33.9258,18.4232,58.12,92,18,1.7,few clouds
134,Bairiki,KI,1.3292,172.9752,84.2,74,20,5.75,few clouds
135,Sorong,ID,-0.8833,131.25,83.57,73,78,6.93,broken clouds
136,Berlevag,NO,70.8578,29.0864,24.6,67,100,24.54,light snow
137,Sioux Lookout,CA,50.1001,-91.917,36.45,99,100,6.38,overcast clouds
138,Raudeberg,NO,61.9875,5.1352,38.07,71,45,1.7,scattered clouds
139,Kishtwar,IN,33.3167,75.7667,69.71,38,0,1.59,clear sky
140,Avarua,CK,-21.2078,-159.775,82.45,78,94,13.8,overcast clouds
141,Nuuk,GL,64.1835,-51.7216,21.81,68,20,23.02,few clouds
142,Brus Laguna,HN,15.75,-84.4833,73.08,97,8,3.4,clear sky
143,Lagoa,PT,39.05,-27.9833,60.78,86,28,18.88,scattered clouds
144,Ponta Do Sol,PT,32.6667,-17.1,63.72,55,29,2.62,scattered clouds
145,Sawakin,SD,19.1059,37.3321,79.43,59,6,5.7,clear sky
146,Urusha,RU,54.05,122.9,43.2,29,75,4.59,broken clouds
147,Santa Lucia,ES,27.9117,-15.5407,56.52,63,20,18.41,few clouds
148,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,87,41,9.33,scattered clouds
149,Puerto Ayora,EC,-0.7393,-90.3518,71.53,92,46,5.82,scattered clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,46.87,71,0,3.44,clear sky
151,Ofunato,JP,39.0717,141.7167,49.59,76,16,5.19,few clouds
152,Bonfim,BR,3.0833,-59.95,79.27,74,86,4.29,overcast clouds
153,Klaksvik,FO,62.2266,-6.589,45.52,74,100,8.19,overcast clouds
154,Lazaro Cardenas,MX,17.9583,-102.2,76.41,74,7,5.19,clear sky
155,Paranhos,BR,-23.8928,-55.4311,67.03,98,44,3.89,scattered clouds
156,Shimoda,JP,34.6667,138.95,59.11,63,78,14.5,broken clouds
